1	0.02	20.5	25	1	1	1	1000	0	0
2	0.02	20.5	25	1	1	1	1000	0	0
3	0.02	20.5	25	1	1	1	1000	0	0
4	0.02	20.5	25	1	1	1	1000	0	0
5	0.02	20.5	25	1	1	1	1000	0	0
1	0.02	20.5	25	1	1	2	500	0	0
2	0.02	20.5	25	1	1	2	500	0	0
3	0.02	20.5	25	1	1	2	500	0	0
4	0.02	20.5	25	1	1	2	500	0	0
5	0.02	20.5	25	1	1	2	500	0	0
1	0.02	20.5	25	1	1	3	300	0	0
2	0.02	20.5	25	1	1	3	300	0	0
3	0.02	20.5	25	1	1	3	300	0	0
4	0.02	20.5	25	1	1	3	300	0	0
5	0.02	20.5	25	1	1	3	300	0	0
1	0.02	20.5	25	1	1	5	250	0	0
2	0.02	20.5	25	1	1	5	250	0	0
3	0.02	20.5	25	1	1	5	250	0	0
4	0.02	20.5	25	1	1	5	250	0	0
5	0.02	20.5	25	1	1	5	250	0	0
1	0.02	20.5	25	1	1	10	150	0	0
2	0.02	20.5	25	1	1	10	150	0	0
3	0.02	20.5	25	1	1	10	150	0	0
4	0.02	20.5	25	1	1	10	150	0	0
5	0.02	20.5	25	1	1	10	150	0	0
1	0.02	20.5	25	1	1	20	100	0	0
2	0.02	20.5	25	1	1	20	100	0	0
3	0.02	20.5	25	1	1	20	100	0	0
4	0.02	20.5	25	1	1	20	100	0	0
5	0.02	20.5	25	1	1	20	100	0	0
1	0.02	20.5	25	1	1	30	100	0	0
2	0.02	20.5	25	1	1	30	100	0	0
3	0.02	20.5	25	1	1	30	100	0	0
4	0.02	20.5	25	1	1	30	100	0	0
5	0.02	20.5	25	1	1	30	100	0	0
1	0.02	20.5	25	1	1	50	50	0	0
2	0.02	20.5	25	1	1	50	50	0	0
3	0.02	20.5	25	1	1	50	50	0	0
4	0.02	20.5	25	1	1	50	50	0	0
5	0.02	20.5	25	1	1	50	50	0	0
1	0.02	20.5	25	1	1	100	50	0	0
2	0.02	20.5	25	1	1	100	50	0	0
3	0.02	20.5	25	1	1	100	50	0	0
4	0.02	20.5	25	1	1	100	50	0	0
5	0.02	20.5	25	1	1	100	50	0	0
1	0.02	20.5	25	1	1	200	50	0	0
2	0.02	20.5	25	1	1	200	50	0	0
3	0.02	20.5	25	1	1	200	50	0	0
4	0.02	20.5	25	1	1	200	50	0	0
5	0.02	20.5	25	1	1	200	50	0	0
1	0.02	20.5	25	1	1	300	50	0	0
2	0.02	20.5	25	1	1	300	50	0	0
3	0.02	20.5	25	1	1	300	50	0	0
4	0.02	20.5	25	1	1	300	50	0	0
5	0.02	20.5	25	1	1	300	50	0	0
1	0.02	20.5	25	1	1	500	50	0	0
2	0.02	20.5	25	1	1	500	50	0	0
3	0.02	20.5	25	1	1	500	50	0	0
4	0.02	20.5	25	1	1	500	50	0	0
5	0.02	20.5	25	1	1	500	50	0	0
1	0.02	20.5	5	1	1	1000	25	0	0
2	0.02	20.5	5	1	1	1000	25	0	0
3	0.02	20.5	5	1	1	1000	25	0	0
4	0.02	20.5	5	1	1	1000	25	0	0
5	0.02	20.5	5	1	1	1000	25	0	0
1	0.02	20.5	5	1	1	2000	25	0	0
2	0.02	20.5	5	1	1	2000	25	0	0
3	0.02	20.5	5	1	1	2000	25	0	0
4	0.02	20.5	5	1	1	2000	25	0	0
5	0.02	20.5	5	1	1	2000	25	0	0
1	0.02	20.5	5	1	1	3000	25	0	0
2	0.02	20.5	5	1	1	3000	25	0	0
3	0.02	20.5	5	1	1	3000	25	0	0
4	0.02	20.5	5	1	1	3000	25	0	0
5	0.02	20.5	5	1	1	3000	25	0	0
1	0.02	20.5	5	1	1	5000	25	0	0
2	0.02	20.5	5	1	1	5000	25	0	0
3	0.02	20.5	5	1	1	5000	25	0	0
4	0.02	20.5	5	1	1	5000	25	0	0
5	0.02	20.5	5	1	1	5000	25	0	0
1	0.02	20.5	1	1	1	10000	10	0	0
2	0.02	20.5	1	1	1	10000	10	0	0
3	0.02	20.5	1	1	1	10000	10	0	0
4	0.02	20.5	1	1	1	10000	10	0	0
5	0.02	20.5	1	1	1	10000	10	0	0
1	0.02	20.5	1	1	1	20000	10	0	0
2	0.02	20.5	1	1	1	20000	10	0	0
3	0.02	20.5	1	1	1	20000	10	0	0
4	0.02	20.5	1	1	1	20000	10	0	0
5	0.02	20.5	1	1	1	20000	10	0	0
1	0.02	20.5	1	1	1	30000	10	0	0
2	0.02	20.5	1	1	1	30000	10	0	0
3	0.02	20.5	1	1	1	30000	10	0	0
4	0.02	20.5	1	1	1	30000	10	0	0
5	0.02	20.5	1	1	1	30000	10	0	0
1	0.02	20.5	1	1	1	50000	10	0	0
2	0.02	20.5	1	1	1	50000	10	0	0
3	0.02	20.5	1	1	1	50000	10	0	0
4	0.02	20.5	1	1	1	50000	10	0	0
5	0.02	20.5	1	1	1	50000	10	0	0
1	0.02	20.5	0.5	1	1	100000	5	0	0
2	0.02	20.5	0.5	1	1	100000	5	0	0
3	0.02	20.5	0.5	1	1	100000	5	0	50
4	0.02	20.5	0.5	1	1	100000	5	0	0
5	0.02	20.5	0.5	1	1	100000	5	0	0
