-0.02000	-8.6
-0.01992	15.2
-0.01984	11.4
-0.01976	-8.7
-0.01968	-8.7
-0.01960	-0.7
-0.01952	15.3
-0.01944	3.5
-0.01936	3.2
-0.01928	3.3
-0.01920	7.4
-0.01912	7.2
-0.01904	-8.4
-0.01896	-5.0
-0.01888	-12.8
-0.01880	3.5
-0.01872	7.2
-0.01864	-16.7
-0.01856	-0.6
-0.01848	11.3
-0.01840	7.2
-0.01832	-4.5
-0.01824	3.3
-0.01816	3.2
-0.01808	-8.6
-0.01800	3.3
-0.01792	7.2
-0.01784	11.3
-0.01776	23.3
-0.01768	-12.6
-0.01760	-0.7
-0.01752	7.4
-0.01744	-12.6
-0.01736	-0.7
-0.01728	-4.7
-0.01720	3.3
-0.01712	-0.7
-0.01704	-0.4
-0.01696	-4.8
-0.01688	3.3
-0.01680	15.0
-0.01672	19.4
-0.01664	3.3
-0.01656	-4.7
-0.01648	3.2
-0.01640	-0.4
-0.01632	-0.7
-0.01624	7.4
-0.01616	7.2
-0.01608	-4.7
-0.01600	7.4
-0.01592	19.3
-0.01584	7.2
-0.01576	-4.5
-0.01568	19.3
-0.01560	11.3
-0.01552	3.3
-0.01544	-20.7
-0.01536	11.3
-0.01528	3.5
-0.01520	7.4
-0.01512	-8.7
-0.01504	19.4
-0.01496	7.1
-0.01488	3.3
-0.01480	-0.6
-0.01472	-0.7
-0.01464	-4.7
-0.01456	-0.6
-0.01448	-8.7
-0.01440	-36.7
-0.01432	-8.7
-0.01424	-4.7
-0.01416	-8.7
-0.01408	19.4
-0.01400	-4.7
-0.01392	-4.8
-0.01384	3.3
-0.01376	-0.6
-0.01368	7.2
-0.01360	-12.8
-0.01352	7.4
-0.01344	7.4
-0.01336	3.5
-0.01328	7.1
-0.01320	-0.7
-0.01312	15.5
-0.01304	3.3
-0.01296	-4.7
-0.01288	3.2
-0.01280	-0.6
-0.01272	-8.7
-0.01264	11.3
-0.01256	23.5
-0.01248	-4.8
-0.01240	-8.7
-0.01232	-8.6
-0.01224	7.2
-0.01216	3.3
-0.01208	15.3
-0.01200	-8.7
-0.01192	15.2
-0.01184	7.4
-0.01176	-0.7
-0.01168	-0.6
-0.01160	3.3
-0.01152	-0.7
-0.01144	-8.6
-0.01136	3.2
-0.01128	-4.5
-0.01120	7.2
-0.01112	3.3
-0.01104	-4.7
-0.01096	-0.7
-0.01088	7.4
-0.01080	-0.7
-0.01072	-4.7
-0.01064	-16.5
-0.01056	7.1
-0.01048	-16.5
-0.01040	-0.7
-0.01032	3.3
-0.01024	15.3
-0.01016	-0.7
-0.01008	-12.6
-0.01000	7.4
-0.00992	15.3
-0.00984	-4.8
-0.00976	3.3
-0.00968	15.3
-0.00960	-4.7
-0.00952	3.2
-0.00944	19.4
-0.00936	-16.7
-0.00928	7.2
-0.00920	-4.5
-0.00912	-8.7
-0.00904	-20.7
-0.00896	19.3
-0.00888	7.4
-0.00880	-0.7
-0.00872	-12.6
-0.00864	-0.6
-0.00856	7.2
-0.00848	-4.7
-0.00840	11.3
-0.00832	-12.6
-0.00824	-0.7
-0.00816	-0.6
-0.00808	-4.8
-0.00800	7.4
-0.00792	27.4
-0.00784	15.2
-0.00776	3.5
-0.00768	-4.8
-0.00760	-28.6
-0.00752	-0.7
-0.00744	-4.8
-0.00736	7.4
-0.00728	19.6
-0.00720	-0.9
-0.00712	7.2
-0.00704	-4.7
-0.00696	-4.5
-0.00688	7.1
-0.00680	7.5
-0.00672	-4.8
-0.00664	7.2
-0.00656	3.5
-0.00648	-0.6
-0.00640	11.3
-0.00632	11.1
-0.00624	-8.6
-0.00616	7.2
-0.00608	-4.7
-0.00600	-0.7
-0.00592	7.4
-0.00584	7.4
-0.00576	-4.7
-0.00568	3.3
-0.00560	-0.7
-0.00552	-8.7
-0.00544	-4.8
-0.00536	3.5
-0.00528	-12.8
-0.00520	-0.6
-0.00512	15.3
-0.00504	-8.7
-0.00496	-16.7
-0.00488	3.3
-0.00480	-0.6
-0.00472	-0.9
-0.00464	-12.6
-0.00456	-4.7
-0.00448	-16.7
-0.00440	-0.7
-0.00432	3.3
-0.00424	3.5
-0.00416	-8.6
-0.00408	7.1
-0.00400	3.3
-0.00392	3.5
-0.00384	-4.8
-0.00376	-0.6
-0.00368	-12.8
-0.00360	3.3
-0.00352	-4.7
-0.00344	-0.6
-0.00336	3.2
-0.00328	11.4
-0.00320	-4.7
-0.00312	-8.7
-0.00304	3.3
-0.00296	7.2
-0.00288	-8.7
-0.00280	-12.6
-0.00272	7.4
-0.00264	-5.0
-0.00256	-4.5
-0.00248	-0.6
-0.00240	-0.7
-0.00232	19.4
-0.00224	-12.8
-0.00216	15.3
-0.00208	7.4
-0.00200	-16.7
-0.00192	-12.8
-0.00184	-4.7
-0.00176	7.4
-0.00168	3.2
-0.00160	11.3
-0.00152	-4.7
-0.00144	-4.7
-0.00136	-16.7
-0.00128	-4.7
-0.00120	3.3
-0.00112	-4.5
-0.00104	-0.9
-0.00096	-12.8
-0.00088	15.5
-0.00080	7.2
-0.00072	7.4
-0.00064	-4.8
-0.00056	-0.4
-0.00048	15.2
-0.00040	-0.7
-0.00032	-12.6
-0.00024	-8.7
-0.00016	-16.7
-0.00008	-8.7
0.00000	-768.6
0.00008	-1372.8
0.00016	-1184.7
0.00024	-1424.7
0.00032	-1612.5
0.00040	-1813.1
0.00048	-1872.5
0.00056	-1944.7
0.00064	-2208.7
0.00072	-2440.7
0.00080	-2548.6
0.00088	-2632.8
0.00096	-2736.7
0.00104	-2776.7
0.00112	-2840.7
0.00120	-2964.7
0.00128	-3092.8
0.00136	-3140.4
0.00144	-3116.8
0.00152	-3088.7
0.00160	-3092.6
